"","location_id","X","sex","age_start","age_end","year_start","year_end","mean","standard_error","measure","ow","bmi","fpg","location_name","region_name"
"37",8,888,"Male",0,14,1999,2000,3.56e-05,1e-04,"Sincidence",0.237925038828438,23.7187977778456,0,"Taiwan","East Asia"
"38",8,882,"Female",60,99,1999,2000,2e-05,1e-04,"Sincidence",0.360412343309307,23.4587078487714,5.91473345923821,"Taiwan","East Asia"
"39",8,880,"Female",30,44,2003,2004,2.06e-05,1e-04,"Sincidence",0.291215058463377,23.7634499677768,5.08123441720008,"Taiwan","East Asia"
"40",8,877,"Female",0,14,2009,2010,6.92e-05,1e-04,"Sincidence",0.193307929273117,24.3184763767028,0,"Taiwan","East Asia"
"41",8,869,"Female",45,59,2009,2010,1.01e-05,1e-04,"Sincidence",0.490742497610068,24.3184763767028,5.56912411839477,"Taiwan","East Asia"
"42",8,846,"Male",45,59,1999,2000,1.12e-05,1e-04,"Sincidence",0.404717249278417,23.7187977778456,5.57427870208312,"Taiwan","East Asia"
"43",8,866,"Male",30,44,2003,2004,2.99e-05,1e-04,"Sincidence",0.444100764859297,24.1891244383344,5.18980098185324,"Taiwan","East Asia"
"44",8,860,"Female",60,99,2005,2006,5e-06,1e-04,"Sincidence",0.441078917646437,23.969005970551,5.79290314916003,"Taiwan","East Asia"
"45",8,890,"Male",45,59,2009,2010,1.02e-05,1e-04,"Sincidence",0.563964027115064,24.9053559877044,5.60603756006866,"Taiwan","East Asia"
"46",8,878,"Female",60,99,2009,2010,1e-06,1e-04,"Sincidence",0.493202328256586,24.3184763767028,5.79812247710879,"Taiwan","East Asia"
"47",8,6354,"Female",5,9,2016,2016,0.000518264429053,3.37361408092e-05,"prevalence",0.241009150741032,24.65672,0,"Taiwan","East Asia"
"48",8,6349,"Male",1,4,2016,2016,0.000155097285337,1.88083085204e-05,"prevalence",0.397069177413839,25.21598,0,"Taiwan","East Asia"
"49",8,6353,"Female",1,4,2016,2016,0.000174091767605,2.06608916636e-05,"prevalence",0.225046683802256,24.65672,0,"Taiwan","East Asia"
"50",8,848,"Male",15,29,2005,2006,3.31e-05,1e-04,"Sincidence",0.311268623713402,24.4611804897587,1.78127148507732,"Taiwan","East Asia"
"51",8,837,"Female",15,29,2007,2008,3.8e-05,1e-04,"Sincidence",0.20709984673484,24.1539998893584,1.77944148688631,"Taiwan","East Asia"
"52",8,842,"Female",45,59,2003,2004,1.03e-05,1e-04,"Sincidence",0.400782418578786,23.7634499677768,5.54084267972754,"Taiwan","East Asia"
"53",8,885,"Male",30,44,2009,2010,2.35e-05,1e-04,"Sincidence",0.539436021013493,24.9053559877044,5.23488736536407,"Taiwan","East Asia"
"54",8,876,"Male",15,29,2009,2010,3.08e-05,1e-04,"Sincidence",0.341682833369213,24.9053559877044,1.8253810234391,"Taiwan","East Asia"
"55",8,874,"Female",0,14,2007,2008,6.19e-05,1e-04,"Sincidence",0.189222313615195,24.1539998893584,0,"Taiwan","East Asia"
"56",8,840,"Male",30,44,2005,2006,2.18e-05,1e-04,"Sincidence",0.479937274805868,24.4611804897587,5.17699786939883,"Taiwan","East Asia"
"57",8,6355,"Female",10,14,2016,2016,0.00104253986607,4.48222897321e-05,"prevalence",0.199324364139432,24.65672,0,"Taiwan","East Asia"
